Township,HA_Num,HA_Name,HSDA_Num,HSDA_Name,LHA_Num,LHA_Name,Province
HEFFLEY CREEK,1,Interior,14,Thompson Cariboo Shuswap,143,Kamloops,BC
HENDRIX LAKE,1,Interior,14,Thompson Cariboo Shuswap,144,100 Mile House,BC
HILLS,1,Interior,12,Kootenay Boundary,124,Arrow Lakes,BC
HOLMWOOD,1,Interior,14,Thompson Cariboo Shuswap,143,Kamloops,BC
HORSE CREEK,1,Interior,11,East Kootenay,116,Golden,BC
HORSEFLY,1,Interior,14,Thompson Cariboo Shuswap,146,Cariboo/Chilcotin,BC
HOSMER,1,Interior,11,East Kootenay,111,Fernie,BC
HOWSER,1,Interior,12,Kootenay Boundary,121,Kootenay Lake,BC
HUPEL,1,Interior,13,Okanagan,139,Enderby,BC
HUSCROFT,1,Interior,11,East Kootenay,115,Creston,BC
HYDRAULIC,1,Interior,14,Thompson Cariboo Shuswap,146,Cariboo/Chilcotin,BC
INDIAN ROCK,1,Interior,13,Okanagan,132,Penticton,BC
INKANEEP,1,Interior,13,Okanagan,131,Southern Okanagan,BC
INVERMERE,1,Interior,11,East Kootenay,114,Windermere,BC
JAFFRAY,1,Interior,11,East Kootenay,111,Fernie,BC
JELLICOE,1,Interior,13,Okanagan,134,Princeton,BC
JERSEY,1,Interior,12,Kootenay Boundary,122,Nelson,BC
JESMOND,1,Interior,14,Thompson Cariboo Shuswap,144,100 Mile House,BC
JIM SMITH LAKE,1,Interior,11,East Kootenay,112,Cranbrook,BC
JOHNSONS LANDING,1,Interior,12,Kootenay Boundary,121,Kootenay Lake,BC
JUNE SPRINGS ESTATES,1,Interior,13,Okanagan,137,Central Okanagan,BC
JURA,1,Interior,13,Okanagan,134,Princeton,BC
KALAMALKA,1,Interior,13,Okanagan,136,Vernon,BC
KALEDEN,1,Interior,13,Okanagan,132,Penticton,BC
KAMLOOPS,1,Interior,14,Thompson Cariboo Shuswap,143,Kamloops,BC
KANAKA BAR,1,Interior,14,Thompson Cariboo Shuswap,148,South Cariboo,BC
KASLO,1,Interior,12,Kootenay Boundary,121,Kootenay Lake,BC
KEDLESTON,1,Interior,13,Okanagan,136,Vernon,BC
KEITHLEY CREEK,1,Interior,14,Thompson Cariboo Shuswap,146,Cariboo/Chilcotin,BC
KELOWNA,1,Interior,13,Okanagan,137,Central Okanagan,BC
KEREMEOS,1,Interior,13,Okanagan,133,Keremeos,BC
KERR CREEK,1,Interior,12,Kootenay Boundary,127,Kettle Valley,BC
